2026-02-01 12:35:13 | 192.168.0.113 -> 142.250.207.174 | UDP | Size: 90
2026-02-01 12:35:13 | 142.250.207.174 -> 192.168.0.113 | UDP | Size: 70
2026-02-01 12:35:13 | 192.168.0.113 -> 142.250.207.174 | UDP | Size: 73
2026-02-01 12:35:13 | 149.102.255.86 -> 192.168.0.113 | UDP | Size: 79
2026-02-01 12:35:13 | 192.168.0.113 -> 149.102.255.86 | UDP | Size: 72
2026-02-01 12:35:14 | 192.168.0.104 -> 239.255.255.250 | UDP | Size: 167
2026-02-01 12:35:14 | 192.168.0.104 -> 239.255.255.250 | UDP | Size: 164
2026-02-01 12:35:14 | 192.168.0.113 -> 51.210.24.169 | TCP | Size: 54
2026-02-01 12:35:14 | 141.95.98.176 -> 192.168.0.113 | TCP | Size: 141
2026-02-01 12:35:14 | 192.168.0.113 -> 172.217.174.228 | TCP | Size: 66
2026-02-01 12:35:14 | 192.168.0.113 -> 141.95.98.176 | TCP | Size: 54
2026-02-01 12:35:14 | 172.217.174.228 -> 192.168.0.113 | TCP | Size: 66
2026-02-01 12:35:14 | 192.168.0.113 -> 172.217.174.228 | TCP | Size: 54
2026-02-01 12:35:14 | 192.168.0.113 -> 141.95.98.176 | TCP | Size: 116
2026-02-01 12:35:14 | 141.95.98.176 -> 192.168.0.113 | TCP | Size: 54
2026-02-01 12:35:15 | 141.95.98.176 -> 192.168.0.113 | TCP | Size: 419
2026-02-01 12:35:15 | 141.95.98.176 -> 192.168.0.113 | TCP | Size: 1506
2026-02-01 12:35:15 | 192.168.0.113 -> 141.95.98.176 | TCP | Size: 66
2026-02-01 12:35:15 | 192.168.0.113 -> 141.95.98.176 | TCP | Size: 54
2026-02-01 12:35:15 | 192.168.0.113 -> 172.217.174.228 | TCP | Size: 1466
2026-02-01 12:35:15 | 192.168.0.113 -> 172.217.174.228 | TCP | Size: 398
2026-02-01 12:35:15 | 172.217.174.228 -> 192.168.0.113 | TCP | Size: 54
2026-02-01 12:35:15 | 172.217.174.228 -> 192.168.0.113 | TCP | Size: 1466
2026-02-01 12:35:15 | 172.217.174.228 -> 192.168.0.113 | TCP | Size: 1466
2026-02-01 12:35:15 | 172.217.174.228 -> 192.168.0.113 | TCP | Size: 1466
2026-02-01 12:35:15 | 172.217.174.228 -> 192.168.0.113 | TCP | Size: 1196
2026-02-01 12:35:15 | 192.168.0.113 -> 172.217.174.228 | TCP | Size: 54
2026-02-01 12:35:15 | 192.168.0.113 -> 141.95.98.176 | TCP | Size: 1506
2026-02-01 12:35:15 | 192.168.0.113 -> 141.95.98.176 | TCP | Size: 1506
2026-02-01 12:35:15 | 192.168.0.113 -> 141.95.98.176 | TCP | Size: 1307
2026-02-01 12:35:15 | 141.95.98.176 -> 192.168.0.113 | TCP | Size: 54
2026-02-01 12:35:15 | 141.95.98.176 -> 192.168.0.113 | TCP | Size: 54
2026-02-01 12:35:15 | 141.95.98.176 -> 192.168.0.113 | TCP | Size: 54
2026-02-01 12:35:15 | 192.168.0.113 -> 141.95.98.176 | TCP | Size: 1397
2026-02-01 12:35:15 | 141.95.98.176 -> 192.168.0.113 | TCP | Size: 54
2026-02-01 12:35:16 | 192.168.0.104 -> 239.255.255.250 | UDP | Size: 167
2026-02-01 12:35:16 | 141.95.98.176 -> 192.168.0.113 | TCP | Size: 189
2026-02-01 12:35:16 | 192.168.0.113 -> 172.217.174.228 | TCP | Size: 128
2026-02-01 12:35:16 | 192.168.0.113 -> 103.151.151.6 | TCP | Size: 54
2026-02-01 12:35:16 | 192.168.0.113 -> 169.150.243.66 | UDP | Size: 154
2026-02-01 12:35:16 | 172.217.174.228 -> 192.168.0.113 | TCP | Size: 54
2026-02-01 12:35:16 | 192.168.0.113 -> 141.95.98.176 | TCP | Size: 54
2026-02-01 12:35:16 | 103.151.151.6 -> 192.168.0.113 | TCP | Size: 54
2026-02-01 12:35:16 | 192.168.0.113 -> 103.151.151.6 | TCP | Size: 54
2026-02-01 12:35:16 | 192.168.0.104 -> 239.255.255.250 | UDP | Size: 164
2026-02-01 12:35:16 | 169.150.243.66 -> 192.168.0.113 | UDP | Size: 72
2026-02-01 12:35:16 | 192.168.0.113 -> 169.150.243.66 | UDP | Size: 72
2026-02-01 12:35:16 | 149.102.255.86 -> 192.168.0.113 | UDP | Size: 67
2026-02-01 12:35:16 | 192.168.0.113 -> 149.102.255.86 | UDP | Size: 74
2026-02-01 12:35:16 | 141.95.98.176 -> 192.168.0.113 | TCP | Size: 1003
2026-02-01 12:35:16 | 192.168.0.113 -> 172.217.174.228 | TCP | Size: 942
2026-02-01 12:35:16 | 172.217.174.228 -> 192.168.0.113 | TCP | Size: 54
2026-02-01 12:35:16 | 172.217.174.228 -> 192.168.0.113 | TCP | Size: 1070
2026-02-01 12:35:16 | 172.217.174.228 -> 192.168.0.113 | TCP | Size: 85
2026-02-01 12:35:16 | 192.168.0.113 -> 172.217.174.228 | TCP | Size: 54
2026-02-01 12:35:16 | 192.168.0.113 -> 141.95.98.176 | TCP | Size: 1131
2026-02-01 12:35:16 | 141.95.98.176 -> 192.168.0.113 | TCP | Size: 107
2026-02-01 12:35:16 | 192.168.0.113 -> 141.95.98.176 | TCP | Size: 146
2026-02-01 12:35:16 | 192.168.0.113 -> 149.154.171.5 | TCP | Size: 54
2026-02-01 12:35:16 | 149.102.255.86 -> 192.168.0.113 | UDP | Size: 68
2026-02-01 12:35:16 | 149.154.171.5 -> 192.168.0.113 | TCP | Size: 54
2026-02-01 12:35:16 | 192.168.0.113 -> 149.154.171.5 | TCP | Size: 54
2026-02-01 12:35:16 | 162.55.196.176 -> 192.168.0.113 | UDP | Size: 92
2026-02-01 12:35:16 | 192.168.0.113 -> 162.55.196.176 | UDP | Size: 98
2026-02-01 12:35:16 | 141.95.98.176 -> 192.168.0.113 | TCP | Size: 54
2026-02-01 12:35:16 | 141.95.98.176 -> 192.168.0.113 | TCP | Size: 54
2026-02-01 12:35:16 | 162.55.196.176 -> 192.168.0.113 | UDP | Size: 72
2026-02-01 12:35:16 | 162.55.196.176 -> 192.168.0.113 | UDP | Size: 65
2026-02-01 12:35:16 | 192.168.0.113 -> 162.55.196.176 | UDP | Size: 77
2026-02-01 12:35:16 | 192.168.0.113 -> 162.55.196.176 | UDP | Size: 68
2026-02-01 12:35:16 | 192.168.0.113 -> 52.175.141.53 | TCP | Size: 111
2026-02-01 12:35:16 | 172.217.174.228 -> 192.168.0.113 | TCP | Size: 968
2026-02-01 12:35:16 | 172.217.174.228 -> 192.168.0.113 | TCP | Size: 96
2026-02-01 12:35:16 | 192.168.0.113 -> 172.217.174.228 | TCP | Size: 54
2026-02-01 12:35:16 | 192.168.0.113 -> 141.95.98.176 | TCP | Size: 1071
2026-02-01 12:35:16 | 52.175.141.53 -> 192.168.0.113 | TCP | Size: 100
2026-02-01 12:35:16 | 162.55.196.176 -> 192.168.0.113 | UDP | Size: 67
2026-02-01 12:35:16 | 141.95.98.176 -> 192.168.0.113 | TCP | Size: 146
2026-02-01 12:35:16 | 192.168.0.113 -> 52.175.141.53 | TCP | Size: 54
2026-02-01 12:35:16 | 192.168.0.113 -> 172.217.174.228 | TCP | Size: 85
2026-02-01 12:35:16 | 172.217.174.228 -> 192.168.0.113 | TCP | Size: 54
2026-02-01 12:35:16 | 192.168.0.113 -> 141.95.98.176 | TCP | Size: 54
2026-02-01 12:35:17 | 141.95.98.176 -> 192.168.0.113 | TCP | Size: 54
2026-02-01 12:35:17 | 172.217.174.228 -> 192.168.0.113 | TCP | Size: 1466
2026-02-01 12:35:17 | 172.217.174.228 -> 192.168.0.113 | TCP | Size: 1466
2026-02-01 12:35:17 | 172.217.174.228 -> 192.168.0.113 | TCP | Size: 1466
2026-02-01 12:35:17 | 172.217.174.228 -> 192.168.0.113 | TCP | Size: 1466
2026-02-01 12:35:17 | 172.217.174.228 -> 192.168.0.113 | TCP | Size: 1466
2026-02-01 12:35:17 | 172.217.174.228 -> 192.168.0.113 | TCP | Size: 1466
2026-02-01 12:35:17 | 172.217.174.228 -> 192.168.0.113 | TCP | Size: 1466
2026-02-01 12:35:17 | 172.217.174.228 -> 192.168.0.113 | TCP | Size: 1466
2026-02-01 12:35:17 | 172.217.174.228 -> 192.168.0.113 | TCP | Size: 1466
2026-02-01 12:35:17 | 172.217.174.228 -> 192.168.0.113 | TCP | Size: 1466
2026-02-01 12:35:17 | 172.217.174.228 -> 192.168.0.113 | TCP | Size: 1466
2026-02-01 12:35:17 | 172.217.174.228 -> 192.168.0.113 | TCP | Size: 356
2026-02-01 12:35:17 | 172.217.174.228 -> 192.168.0.113 | TCP | Size: 1466
2026-02-01 12:35:17 | 172.217.174.228 -> 192.168.0.113 | TCP | Size: 1466
2026-02-01 12:35:17 | 172.217.174.228 -> 192.168.0.113 | TCP | Size: 1466
2026-02-01 12:35:17 | 172.217.174.228 -> 192.168.0.113 | TCP | Size: 278
2026-02-01 12:35:17 | 172.217.174.228 -> 192.168.0.113 | TCP | Size: 759
2026-02-01 12:35:17 | 172.217.174.228 -> 192.168.0.113 | TCP | Size: 1466
2026-02-01 12:35:17 | 172.217.174.228 -> 192.168.0.113 | TCP | Size: 764
2026-02-01 12:35:17 | 172.217.174.228 -> 192.168.0.113 | TCP | Size: 1466
2026-02-01 12:35:17 | 172.217.174.228 -> 192.168.0.113 | TCP | Size: 414
2026-02-01 12:35:17 | 192.168.0.113 -> 172.217.174.228 | TCP | Size: 54
2026-02-01 12:35:17 | 192.168.0.113 -> 141.95.98.176 | TCP | Size: 1506
2026-02-01 12:35:17 | 192.168.0.113 -> 141.95.98.176 | TCP | Size: 1506
2026-02-01 12:35:17 | 192.168.0.113 -> 141.95.98.176 | TCP | Size: 1307
2026-02-01 12:35:17 | 192.168.0.113 -> 141.95.98.176 | TCP | Size: 1506
2026-02-01 12:35:17 | 192.168.0.113 -> 141.95.98.176 | TCP | Size: 1506
2026-02-01 12:35:17 | 192.168.0.113 -> 141.95.98.176 | TCP | Size: 1307
2026-02-01 12:35:17 | 172.217.174.228 -> 192.168.0.113 | TCP | Size: 1466
2026-02-01 12:35:17 | 172.217.174.228 -> 192.168.0.113 | TCP | Size: 1466
2026-02-01 12:35:17 | 172.217.174.228 -> 192.168.0.113 | TCP | Size: 1466
2026-02-01 12:35:17 | 172.217.174.228 -> 192.168.0.113 | TCP | Size: 735
2026-02-01 12:35:17 | 172.217.174.228 -> 192.168.0.113 | TCP | Size: 405
